sID,pID,per,E_per,e_per,rad,E_rad,e_rad,axis,E_axis,e_axis,koi_disposition,koi_pdisposition,reliability,comp,avg_comp,mdwarf_comp,new_comp
7017274,K03209.02,6.77067637,5.734e-05,-5.734e-05,1.794702965780067,0.077334864679345,-0.0924252210288634,0.0811488372047387,0.0013179193241419,-0.0014392687049729,CANDIDATE,CANDIDATE,0.9921774322679884,0.0971394063964316,0.0569046099871629,0.030836336470262,0.09687739055284604
11189311,K03220.01,81.4160138,0.0004882,-0.0004882,5.42922023479009,0.2328600591032543,-0.7928647785227563,0.407737752039265,0.0055099738263239,-0.0056645868612107,CONFIRMED,CANDIDATE,0.952997867681436,0.0170570148156144,0.0114722296598488,0.004836118377495,0.01704893468315
10384298,K03224.01,3.43861067,1.861e-05,-1.861e-05,0.5853385026836297,0.0297914401616135,-0.0672422458224475,0.042509794485212,0.0005468107111466,-0.0007969879536412,CANDIDATE,CANDIDATE,0.8163021189408901,0.0846587191498176,0.0080115491676261,0.0150101517297135,0.08447909580830068
3109550,K03225.01,4.8754765,3.976e-05,-3.976e-05,0.5378011316799673,0.0474500619538629,-0.042133091231941,0.0544259281046269,0.0007578184769199,-0.0010080422941036,CANDIDATE,CANDIDATE,0.0693274497887864,0.0624132492868554,0.0029414383682539,0.0066631892344808,0.06215508979733748
5544450,K03226.01,4.29388808,3.157e-05,-3.157e-05,1.5494915847253674,0.0675093060632519,-0.0775827580901284,0.0574633393032123,0.0007853532129354,-0.0007516992095848,CANDIDATE,CANDIDATE,0.9994989763089456,0.0995835448067457,0.0744864452209278,0.041425544964379,0.09947221646915487
5544450,K03226.02,6.93650854,8.196e-05,-8.196e-05,1.39026656780481,0.0884841769735877,-0.0884766134998886,0.0791803040036805,0.0011020599464784,-0.0010022493686084,CANDIDATE,CANDIDATE,0.9818339528845784,0.0474952814510961,0.0457923138301523,0.0275169308996378,0.04718954020818151
9569711,K03232.01,6.05919881,3.212e-05,-3.212e-05,1.178915403649568,0.0881591661574834,-0.0675961500582764,0.0648385318622349,0.0006491744300071,-0.0008583702450032,CANDIDATE,CANDIDATE,0.8599959771753032,0.0638705518923993,0.0407875409115367,0.028322808504174,0.06376656898056111
10057494,K03234.01,2.41810158,1.372e-05,-1.372e-05,1.0944674777414387,0.0730922538383402,-0.0699764122790354,0.0383909609986378,0.0005567939588063,-0.0005612589751055,CONFIRMED,CANDIDATE,0.0,0.1749125972708212,0.0884722495756975,0.0573018002376007,0.17444898607957235
7902003,K03236.01,7.13044117,7.436e-05,-7.436e-05,0.8274266677416717,0.064775252891493,-0.0511136705986869,0.0784807479324536,0.0010472833442775,-0.001453031545878,CANDIDATE,CANDIDATE,0.923972539912998,0.0623552125988177,0.0122189347369311,0.0161633103757318,0.06205853625694166
6587796,K03237.01,33.4203001,0.0006669,-0.0006669,2.3324965471883186,0.768011881311395,-0.3350145206490689,0.2070613855377825,0.0017691628267133,-0.0026514730665074,CONFIRMED,CANDIDATE,0.9799982236565308,0.0213439599622557,0.0191287263957411,0.0097681150334071,0.021256027615970414
8073705,K03245.01,10.60052083,8.867e-05,-8.867e-05,1.1272768766684425,0.2777892651820735,-0.0995897980550095,0.0975755593701732,0.0020845613577431,-0.0022882564850174,CONFIRMED,CANDIDATE,0.9989536220762484,0.0546552347844811,0.0202342963420766,0.0171803801886168,0.054492657703557525
9885417,K03246.01,0.689967868,1.283e-06,-1.283e-06,0.7770033868989499,0.036278696242843,-0.0267674136955904,0.0138399303482436,0.000175824867998,-0.0001991115271503,CONFIRMED,CANDIDATE,0.0,0.2019439270833478,0.1700663966990985,0.1310730080675471,0.20161457925484672
10917433,K03248.01,6.91261536,5.175e-05,-5.175e-05,0.6630755475412615,0.0219080361104678,-0.0702554152303255,0.0715603434664349,0.0016024961271504,-0.0016086599681451,CANDIDATE,CANDIDATE,0.9803251213186804,0.0599693911404071,0.0048433700900379,0.0089166443915611,0.05987381048317106
4366323,K03258.01,40.3511707,0.0004021,-0.0004021,2.3588079394522854,0.2201907148913302,-0.1774402835713435,0.2254923665965029,0.0054107622376413,-0.0055941306797883,CANDIDATE,CANDIDATE,0.9876454619874756,0.0178790376771974,0.0162778488098817,0.0081832940612723,0.017863346209274735
2853029,K03259.01,72.9332762,0.0008081,-0.0008081,2.183972034424745,0.1667582360652018,-0.1602620164305959,0.3176494925430414,0.0054577112905333,-0.0056297808543203,CANDIDATE,CANDIDATE,0.9450275762161564,0.009576710803852,0.0093110515104828,0.0051238659409129,0.009531146452783572
12156174,K03260.01,56.6746666,0.0004151,-0.0004151,3.059120251182917,0.5333076425945298,-0.2464338295024086,0.2887741699944149,0.0047617407431636,-0.0055867574876535,CONFIRMED,CANDIDATE,0.8898875524151061,0.0142243195285304,0.0139864482389961,0.0064472411556928,0.014225157392262227
12055539,K03261.01,12.27057043,6.863e-05,-6.863e-05,1.569909078255304,0.0763278579540485,-0.069150001055217,0.1026172569796909,0.0013113124631441,-0.001778743404531,CONFIRMED,CANDIDATE,0.9996892932040798,0.0373698671043676,0.03163163563253,0.018561177522212,0.03721609490611969
11853130,K03263.01,76.87935893,4.834e-05,-4.834e-05,11.92754516496618,2.705794242316625,-1.10692239945344,0.3051856201253436,0.001924664423123,-0.0020753271629894,CANDIDATE,CANDIDATE,0.1099999999999991,0.0087626446566617,0.0121061575452067,0.0049785364978155,0.008739317914003742
9345933,K03264.01,13.0151826,0.0001395,-0.0001395,1.833807207159192,5.0238793013805605,-0.7711249192036342,0.0985623575406526,0.0081813297125122,-0.003463140741731,CANDIDATE,CANDIDATE,0.9836123040235836,0.0261872736505021,0.0342866420027037,0.0186216254609115,0.026030021514577704
8826007,K03266.01,54.5091549,0.0005671,-0.0005671,2.2524865215337675,0.1428024579869493,-0.5147339849783306,0.2532131869928825,0.0031039356168051,-0.0032192736112843,CONFIRMED,CANDIDATE,0.997728946753817,0.0118199672961397,0.0122780119408749,0.0064545227189972,0.011798954614148031
8620402,K03267.01,14.1959621,0.00012,-0.00012,1.4249754169649709,0.2898780280600919,-0.1586756674147336,0.1132844147750746,0.0014778049378716,-0.0022487690469621,CANDIDATE,CANDIDATE,0.9948788014170052,0.032910983308696,0.0242178924179511,0.0157938848334272,0.032833576775886684
7285757,K03271.01,19.5489666,0.0001396,-0.0001396,1.9264299242963705,0.3754961264661691,-0.2970997717484942,0.1303509805631437,0.0018380430241157,-0.0023180488006569,CANDIDATE,CANDIDATE,0.8063717585596929,0.0242530327949597,0.0254652426992661,0.0138238106152547,0.024241486084933896
7285757,K03271.02,7.41834569,6.474e-05,-6.474e-05,1.127622670513316,0.0832058636753469,-0.0813656755302942,0.0682372027912547,0.0011123293540438,-0.0012771920269069,CANDIDATE,CANDIDATE,0.982631441045231,0.0373272540426335,0.0302989964735983,0.0234053149790164,0.037226377440961536
5280587,K03274.01,35.6225528,0.0005427,-0.0005427,2.3336630061589387,0.1819579488489475,-0.1849164413514419,0.2074859874971794,0.0033807744543746,-0.0047819892077617,CONFIRMED,CANDIDATE,0.9967275319189004,0.0184787347653642,0.01813641547481,0.0092281558269176,0.018400485461691447
3544640,K03279.01,30.8278245,0.0003158,-0.0003158,2.6635324715297486,0.2326394991084965,-0.1931558962534465,0.1921596946677284,0.004284516416018,-0.0047030306945477,CANDIDATE,CANDIDATE,0.9903927413569086,0.0217207459754521,0.0215075124865525,0.0107762531105667,0.02164711120993555
10653179,K03280.01,47.1607932,0.0004362,-0.0004362,2.3834723690146857,0.1618942302767583,-0.1652640537553504,0.2472189331277756,0.004211903785217,-0.0057236917159921,CONFIRMED,CANDIDATE,0.9880631882223366,0.0137934230222767,0.0147215411434194,0.0074025380701855,0.013727223100826592
11177676,K03281.01,47.0320478,0.0007193,-0.0007193,1.60465585012766,0.1137462593479776,-0.0879876779074402,0.242699782177087,0.0045417264253042,-0.0054901158403835,CONFIRMED,CANDIDATE,0.9885293944144994,0.011173244119066,0.008732640945738,0.0063606105347819,0.011117048710639543
12066569,K03282.01,49.2768448,0.0003357,-0.0003357,1.8892772764481949,0.1082414256984676,-0.0963405789721894,0.21782389213067,0.0018275787889412,-0.0019087929159473,CONFIRMED,CANDIDATE,0.9984810771654642,0.0105127039418549,0.0111574495679215,0.0066881009036316,0.010479180513440012
9008103,K03283.02,20.5718107,0.0002175,-0.0002175,1.3239811755011135,0.0913407481203012,-0.0820358771667455,0.1318888389411003,0.002007142505412,-0.0021399307261864,CANDIDATE,CANDIDATE,0.9694257252289914,0.017206571442395,0.0139436664244437,0.0110314558476505,0.017139215317006334
6497146,K03284.01,35.2330694,0.0002705,-0.0002705,1.191156142088848,0.079791866733768,-0.0667238101431182,0.1791101706993834,0.0013782131751097,-0.0012925516284163,CONFIRMED,CANDIDATE,0.9958189548679836,0.0134669455108483,0.0052422010655165,0.0059642992140774,0.013413249639808805
8016691,K03286.01,18.1373788,0.0002307,-0.0002307,1.4339565970845567,0.2995771969547718,-0.4335503910931957,0.1152059121743335,0.0013708288267131,-0.0011432788415444,CONFIRMED,CANDIDATE,0.9904105704397193,0.021688033665512,0.0191339618860235,0.0130142564900227,0.02165401996224197
6584273,K03287.01,51.1104797,0.0004344,-0.0004344,2.251782866275653,0.1035364577570097,-0.0915501637375997,0.2763621831234227,0.0063929944979349,-0.0069164836385853,CONFIRMED,CANDIDATE,0.99985978212854,0.0187120872994215,0.0131056080757051,0.0068493627970197,0.018651384768164685
5768816,K03288.01,47.9869119,0.0002568,-0.0002568,2.71078855374595,0.0901026643716673,-0.3226472877820434,0.2466867654657654,0.0026990853078057,-0.0037360613036277,CONFIRMED,CANDIDATE,0.9945911347109166,0.0144803274804541,0.0154926168284681,0.0074349802738112,0.014439243735753487
9447166,K03296.01,62.869463,0.001024,-0.001024,1.8754195146671948,0.0655815033862319,-0.4754928920181225,0.2834918394112261,0.0050299190330135,-0.0041284488951927,CONFIRMED,CANDIDATE,0.9915781705416828,0.0116134872079501,0.0085933553146132,0.0054383445683076,0.011588431226732835
8151055,K03298.01,29.9632816,0.0001998,-0.0001998,2.2553397874984125,0.2695638631314856,-0.398532206664119,0.1640762392919696,0.0021435777572743,-0.0019720194468279,CONFIRMED,CANDIDATE,0.9990100342180808,0.0164483143380523,0.0202850631226953,0.0105087467345612,0.016421661597368718
7510820,K03303.01,29.3493852,0.0001755,-0.0001755,1.9820658916818512,0.3386425297843358,-0.2037232926382344,0.1678732945873947,0.0024811234801675,-0.0031165418701047,CONFIRMED,CANDIDATE,0.9990369634889924,0.017244530128368,0.0187479127931899,0.0102205780621781,0.017207624384937732
6880517,K03305.01,65.6491001,0.000713,-0.000713,2.449993614483147,0.1359890493877591,-0.1381353791214117,0.3013838295688035,0.0047292205080581,-0.0055048711722741,CONFIRMED,CANDIDATE,0.9974351583411032,0.0104228742080708,0.0114660953748867,0.0057419346366849,0.010384615526018897
6615511,K03306.01,25.1593389,0.0004236,-0.0004236,2.2628405121684363,0.1972171664789113,-0.1972838589286309,0.1644132242527393,0.0039684378256336,-0.0040493780464447,CONFIRMED,CANDIDATE,0.996739218970248,0.0275725015278354,0.0233840869848337,0.0121597649950424,0.02751252390316037
6131130,K03307.01,10.5071781,0.0001082,-0.0001082,1.2382329450348584,0.1053690650212226,-0.0768761539311053,0.0866189522131042,0.0013278018987278,-0.0017729256164397,CANDIDATE,CANDIDATE,0.9645474239486992,0.030809898210104,0.025544898185869,0.0187669698183406,0.03064073848650734
5563300,K03309.01,71.05457555,5.192e-05,-5.192e-05,6.2176955696329,0.5262023695581108,-0.4049331350161997,0.3172425232613975,0.0066344450227489,-0.005106940707284,CANDIDATE,CANDIDATE,0.7199999999997393,0.0125716302689851,0.0129461726760932,0.005471710215924,0.012522221909843121
12253769,K03310.01,20.5512722,0.0001597,-0.0001597,1.580993209173032,0.0692021166626144,-0.3416499062602836,0.1436098882336298,0.0021752123954715,-0.0026071247318882,CANDIDATE,CANDIDATE,0.9913238449141086,0.0270551353868653,0.0197138397086094,0.012348757842546,0.027010660460068465
12735830,K03311.01,31.827649,0.0001355,-0.0001355,1.8033660115610228,0.3606924755234799,-0.2564329571785892,0.1728029867406318,0.0021948597380859,-0.0015871488093825,CONFIRMED,CANDIDATE,0.7393502612419168,0.0173976819539115,0.01588461864445,0.0093303437307952,0.01734602976235926
11905409,K03312.01,18.0939004,0.0002288,-0.0002288,2.18963449751444,0.2065983494409611,-0.2231291683634833,0.1338514153668017,0.0025417634709369,-0.0028049069753183,CANDIDATE,CANDIDATE,0.9871705074220976,0.0282153644391821,0.0295489245510426,0.015518832089331,0.028121221234680846
9571186,K03313.01,34.9524256,0.0001243,-0.0001243,316.756614393727,4956.042138395525,-552.8760790862191,0.1909497365626375,0.0028944160380045,-0.0034122876671738,CANDIDATE,CANDIDATE,0.0399532125313035,,,,0.014647129696147215
8554701,K03315.01,31.1748311,0.0002131,-0.0002131,1.3576861959099782,0.0743464501602824,-0.0571790141799044,0.1814632851335447,0.0042588211290392,-0.0036096536259651,CONFIRMED,CANDIDATE,0.9990963603215078,0.021822067250022,0.0092843092768928,0.0078830125421567,0.021764365567820885
9031209,K03316.01,47.0568476,0.0001896,-0.0001896,3.1331629604715534,0.1238664307734627,-0.1213763478167813,0.242353073474731,0.0033499923611544,-0.0040721170914849,CONFIRMED,CANDIDATE,0.9999039340003028,0.0147130437102403,0.0164992173428636,0.0076459375731347,0.0146619916110639
8331612,K03318.01,13.8353959,0.0002748,-0.0002748,3.6505253894710026,0.2958549936894377,-0.8952083714706274,0.1140091833518436,0.0023682196529978,-0.0030034789819935,CANDIDATE,CANDIDATE,0.9937540382847734,0.0404999482598816,0.0398769076951015,0.0217067361644363,0.040437554414063964
8331612,K03318.02,25.6970688,0.0007033,-0.0007033,3.932051889259867,1.4153715732895389,-0.8910055472729841,0.172495164987104,0.003795414348672,-0.0050422370089976,CANDIDATE,CANDIDATE,0.8427739794439876,0.0265873498620629,0.0263191776463625,0.0135540017114896,0.026463222435063532
4271474,K03324.01,21.8634638,0.0003024,-0.0003024,2.4905945117658126,0.2010166250124028,-0.2559916288616732,0.1455269931657091,0.0027540342546096,-0.0030785117912309,CONFIRMED,CANDIDATE,0.9401189993550494,0.0247766367549453,0.0272813804211355,0.0141037917504915,0.02470859985824422
